Designator,Mid X,Mid Y,Rotation,Layer
C1,176.403,-93.6498,90.0,top
C2,124.2822,-93.9038,270.0,top
J4,162.7378,-99.3394,0.0,top
JE1,138.2,-99.2,0.0,top
R1,130.0734,-97.1804,90.0,top
R10,178.908,-95.31,180.0,top
R11,169.764,-95.2846,0.0,top
R12,170.6784,-92.8716,270.0,top
R13,127.8382,-96.8756,270.0,top
R14,125.984,-96.8756,270.0,top
R2,122.7328,-97.1804,270.0,top
R3,130.1242,-91.694,270.0,top
R4,130.9878,-94.7674,180.0,top
R5,122.7328,-92.3544,270.0,top
R6,121.8184,-94.7674,0.0,top
R7,177.9936,-97.723,90.0,top
R8,170.6784,-97.723,90.0,top
R9,177.9936,-92.897,270.0,top
SW1,126.4,-101.325,0.0,top
SW2,174.3378,-101.8644,0.0,top
U1,147.0152,-76.4794,90.0,top
U2,126.3159,-92.6991,0.0,top
U3,174.3597,-93.2635,180.0,top
